reaction_name,mw_reactants,mw_product,solvent,waste_mass,yield,e_factor,atom_economy,sustainability_score
Esterification,190.22,163.68,DMSO,59.81,88.61,0.312,80.92,58.35
Nitration,128.2,100.07,Ethyl Acetate,37.95,82.1,0.367,63.25,53.03
Nitration,162.12,130.18,DMSO,66.31,77.71,0.624,53.7,44.17
Oxidation,139.32,94.2,Water,52.05,75.49,0.563,71.07,60.62
Oxidation,200.38,125.76,Ethanol,90.57,61.81,0.812,68.44,45.25
Oxidation,183.62,104.04,DMSO,93.28,63.65,0.765,68.89,42.93
Oxidation,258.34,153.23,DMF,162.7,68.77,1.081,64.91,30.4
Esterification,221.55,157.03,DMSO,90.89,81.29,0.698,76.78,50.8
Friedel-Crafts,191.47,87.22,DMSO,138.56,47.04,1.357,41.26,23.38
Oxidation,264.66,152.54,Ethyl Acetate,124.43,60.01,1.024,45.79,35.94
Friedel-Crafts,293.19,167.73,Ethanol,127.19,60.62,1.008,45.24,33.26
Hydrogenation,244.46,223.32,Hexane,61.93,90.39,0.286,77.18,52.34
Esterification,264.42,200.15,Water,63.38,78.94,0.261,66.07,58.78
Oxidation,192.1,121.78,DMF,109.75,73.82,1.243,65.44,41.58
Amidation,157.46,104.84,Acetone,75.06,67.38,0.788,74.45,50.64
Hydrogenation,252.96,205.94,Water,56.72,85.61,0.218,91.13,67.66
Reduction,144.39,84.71,Ethyl Acetate,85.0,69.95,0.811,69.79,49.51
Hydrogenation,108.46,95.4,Toluene,47.28,89.79,0.648,77.59,53.73
Friedel-Crafts,148.23,91.88,Ethanol,63.78,64.42,0.546,44.84,42.78
Reduction,142.35,114.66,Toluene,71.84,88.08,0.507,56.26,51.62
Nitration,196.15,135.79,Hexane,99.53,71.49,0.969,52.43,36.84
Oxidation,287.99,165.7,Acetone,132.67,62.23,0.756,49.3,33.89
Hydrogenation,222.16,181.89,Acetone,52.16,96.38,0.368,83.52,68.04
Friedel-Crafts,251.39,167.54,Water,93.77,69.3,0.489,53.24,48.38
Oxidation,286.24,189.95,Water,110.46,66.93,0.667,55.53,44.96
Oxidation,215.49,147.3,Water,86.85,74.02,0.557,48.71,45.98
Suzuki Coupling,349.56,279.43,DMSO,108.94,78.25,0.464,35.77,36.13
Nitration,192.81,133.25,Toluene,104.17,73.68,0.804,55.61,45.1
Hydrogenation,216.82,186.87,Ethanol,35.4,92.96,0.159,72.84,63.03
Friedel-Crafts,342.61,150.54,Ethanol,177.94,50.79,1.612,41.39,29.21
Nitration,156.85,112.14,Water,64.57,75.7,0.476,54.99,53.01
Oxidation,154.98,84.15,Ethanol,78.34,62.48,0.918,64.99,42.85
Esterification,128.31,118.52,DMSO,48.6,90.2,0.347,62.97,53.5
Suzuki Coupling,449.28,246.73,DMF,276.79,54.84,1.205,58.05,24.89
Amidation,156.56,113.49,Acetone,59.06,75.99,0.58,69.67,51.77
Amidation,186.41,152.45,DMF,68.77,86.82,0.373,83.66,55.33
Amidation,231.22,166.73,DMSO,99.36,79.56,0.49,66.07,47.97
Friedel-Crafts,160.92,94.52,Toluene,115.19,70.4,1.032,33.38,33.1
Oxidation,261.07,183.05,DMSO,111.66,83.38,0.76,53.87,46.69
Esterification,194.56,147.81,Toluene,80.19,80.54,0.431,82.92,55.42
Nitration,91.4,65.18,Water,35.05,75.1,0.434,55.81,53.65
Suzuki Coupling,316.54,198.33,Acetone,136.35,61.32,0.739,41.78,38.14
Amidation,307.87,259.96,Toluene,85.6,82.95,0.259,71.42,53.17
Hydrogenation,198.3,129.71,DMSO,95.94,77.68,0.619,85.88,49.86
Friedel-Crafts,237.31,115.7,Ethyl Acetate,148.69,55.57,1.047,66.74,39.56
Nitration,93.83,68.42,DMSO,63.06,83.98,1.285,63.97,44.13
